codice spira;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;sensor_key
0.127 1.16 2 1;649;1;spira;1073;1405;1400;PIAZZA ALDROVANDI;6140;6257;4000/343434;A;117;NO;352;11.3519809631422;44.4941035248986;44.4941035248986, 11.3519809631422;8;649_0.127 1.16 2 1
0.127 2.6 10 1;916;2;spira;1094;8619;1350;VIALE ANTONIO ALDINI;16521;16644;4000/343434;A;50;;243;11.3332516740634;44.488760887266;44.488760887266, 11.3332516740634;74;916_0.127 2.6 10 1
0.127 2.20 2 1;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;11.3190584470408;44.4973300969747;44.4973300969747, 11.3190584470408;40;178_0.127 2.20 2 1
0.127 2.25 2 1;78;1;spira;51;4554;43900;VIA PANIGALE;8713;15796;4000/343434;A;11;S;165;11.2813876561011;44.5157682111428;44.5157682111428, 11.2813876561011;47;78_0.127 2.25 2 1
0.127 2.26 6 1;184;1;spira;576;2572;45900;VIA DELLA PIETRA;8691;8711;4000/343434;A;254;N;327;11.2873740726503;44.5119564774502;44.5119564774502, 11.2873740726503;49;184_0.127 2.26 6 1
0.127 2.30 6 1;296;2;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;11.3092167352814;44.5053085046798;44.5053085046798, 11.3092167352814;53;296_0.127 2.30 6 1
0.127 2.39 4 1;514;1;spira;851;11;20930;VIA DUCCIO DI BONINSEGNA;4372;4376;4000/343434;A;309;O;107;11.2898913795087;44.4900261485684;44.4900261485684, 11.2898913795087;66;514_0.127 2.39 4 1
0.127 2.82 8 1;206;1;spira;600;2647;44650;VIA PASUBIO;8787;4566;4000/343434;A;42;E;248;11.3107102075303;44.5006771544669;44.5006771544669, 11.3107102075303;84;206_0.127 2.82 8 1
0.127 2.86 6 1;524;1;spira;910;6759;52550;VIA DELLA SALUTE;14381;14382;4000/343434;A;274;N;338;11.2729414631605;44.5222547013235;44.5222547013235, 11.2729414631605;92;524_0.127 2.86 6 1
0.127 2.86 8 1;525;1;spira;911;4522;8300;VIA DOMENICO BIANCOLELLI;8522;8523;4000/343434;A;274;E;246;11.2728130469809;44.5224585057515;44.5224585057515, 11.2728130469809;93;525_0.127 2.86 8 1
0.127 3.12 4 1;221;1;spira;616;3912;17300;VIA COLOMBAROLA;11148;11147;4000/343434;A;256;O;82;11.3563287747852;44.5444145871753;44.5444145871753, 11.3563287747852;108;221_0.127 3.12 4 1
0.127 3.31 6 1;463;1;spira;656;3477;54350;VIA SERENA;10453;16625;4000/343434;A;154;NE;308;11.3620112416118;44.5090899415027;44.5090899415027, 11.3620112416118;141;463_0.127 3.31 6 1
0.127 3.35 4 1;651;1;spira;1075;3688;52430;VIA EMILIO SALGARI;10861;10881;4000/343434;A;116;NO;36;11.3894971043151;44.5144353084973;44.5144353084973, 11.3894971043151;147;651_0.127 3.35 4 1
0.127 3.38 8 1;151;1;spira;239;5584;90050;TANGENZIALE CASALECCHIO-SAN LAZZARO;13427;10870;4000/343434;A;121;SE;213;11.3794473964187;44.5095317381563;44.5095317381563, 11.3794473964187;153;151_0.127 3.38 8 1
0.127 3.40 4 1;144;1;spira;230;3455;2100;VIA ISABELLA ANDREINI;10586;10566;4000/343434;A;123;NO;35;11.3722564603448;44.5052695825924;44.5052695825924, 11.3722564603448;158;144_0.127 3.40 4 1
0.127 3.44 6 1;625;1;spira;958;10441;58070;VIA CLETO TOMBA;16868;17406;4000/343434;A;139;SE;215;11.3600795301374;44.5072507423558;44.5072507423558, 11.3600795301374;161;625_0.127 3.44 6 1
0.127 3.50 2 1;480;1;spira;675;7380;33650;VIA FAUSTINO MALAGUTI;14930;16752;4000/343434;A;128;O;80;11.3569222813872;44.4982070332471;44.4982070332471, 11.3569222813872;167;480_0.127 3.50 2 1
0.127 3.52 6 1;397;1;spira;680;3131;2000;VIA GIOVANNI AMENDOLA;10235;10229;4000/343434;A;143;N;344;11.3409587971683;44.5042411010656;44.5042411010656, 11.3409587971683;171;397_0.127 3.52 6 1
0.127 3.86 3 1;895;1;spira;1229;3625;14150;VIA GIOVANNI CASONI;10776;10767;4000/343434;A;102;O;71;11.3566935508876;44.5184343889742;44.5184343889742, 11.3566935508876;198;895_0.127 3.86 3 1
0.127 3.88 10 1;937;2;spira;1144;9925;21580;VIALE EUROPA;13181;15108;4000/343434;A;125;;150;11.3702196342924;44.5097545007963;44.5097545007963, 11.3702196342924;204;937_0.127 3.88 10 1
0.127 3.89 2 1;411;1;spira;694;3392;2100;VIA ISABELLA ANDREINI;10544;10539;4000/343434;A;156;S;174;11.3732762693682;44.5000712671199;44.5000712671199, 11.3732762693682;205;411_0.127 3.89 2 1
0.127 3.89 8 1;408;1;spira;691;3405;7500;VIA FILIPPO BEROALDO;10535;10539;4000/343434;A;156;E;242;11.3728670312021;44.4998932893995;44.4998932893995, 11.3728670312021;208;408_0.127 3.89 8 1
0.127 3.94 6 1;882;1;spira;1233;3845;2900;VIA DELL’ARCOVEGGIO;10737;11057;4000/343434;A;81;NE;322;11.3506540768714;44.536707546577;44.536707546577, 11.3506540768714;221;882_0.127 3.94 6 1
0.127 3.95 6 1;865;1;spira;1206;3815;11050;VIA CADRIANO;10754;10984;4000/343434;A;84;NE;323;11.384028086390003;44.52896574153405;44.528965741534044, 11.384028086390005;224;865_0.127 3.95 6 1
0.127 4.11 2 1;723;1;spira;1058;2142;20830;VIA GIUSEPPE DOZZA;6840;6816;4000/343434;A;167;NO;64;11.3960943700341;44.4754010453487;44.4754010453487, 11.3960943700341;231;723_0.127 4.11 2 1
0.127 4.18 8 1;486;1;spira;735;4428;1200;VIA PIETRO ALBERTONI;6297;6374;4000/343434;A;155;S;158;11.3625691774304;44.4883262335036;44.4883262335036, 11.3625691774304;237;486_0.127 4.18 8 1
0.127 4.27 2 1;502;1;spira;751;2123;15350;VIA FRANCESCO CAVAZZONI;6698;5838;4000/343434;A;179;O;83;11.3778677446782;44.4708506881801;44.4708506881801, 11.3778677446782;244;502_0.127 4.27 2 1
0.127 4.33 8 1;10;1;spira;281;4410;42350;VIALE ALFREDO ORIANI;6300;6301;4000/343434;A;60;SO;154;11.3588149053865;44.4833307956986;44.4833307956986, 11.3588149053865;250;10_0.127 4.33 8 1
0.127 4.38 10 1;952;2;spira;991;2126;49330;VIA RAVENNA;6713;6712;4000/343434;A;290;NO;64;11.3875323011537;44.4729029948071;44.4729029948071, 11.3875323011537;260;952_0.127 4.38 10 1
0.127 4.44 10 1;922;2;spira;1029;833;14700;VIA CASTIGLIONE;5965;6010;4000/343434;A;55;N;356;11.3482108253276;44.4852233568157;44.4852233568157, 11.3482108253276;268;922_0.127 4.44 10 1
0.127 4.44 10 2;921;2;spira;1030;8913;14800;PIAZZA DI PORTA CASTIGLIONE;16770;16774;4000/343434;A;55;NO;82;11.3485127777122;44.4854521602261;44.4854521602261, 11.3485127777122;269;921_0.127 4.44 10 2
0.127 4.45 10 2;923;2;spira;1031;818;43950;VIALE ENRICO PANZACCHI;5976;5969;4000/343434;A;54;NO;82;11.3445650984305;44.4859117290496;44.4859117290496, 11.3445650984305;272;923_0.127 4.45 10 2
0.127 4.84 4 1;645;1;spira;1068;420;44670;VIA CESARE PAVESE;5516;5517;4000/343434;A;282;SE;224;11.359416857825;44.4483363330661;44.4483363330661, 11.359416857825;320;645_0.127 4.84 4 1
0.127 4.85 8 1;265;1;spira;917;2257;31370;VIALE ILIC ULJANOV LENIN;6897;6898;4000/343434;A;351;S;162;11.3831062585447;44.4817324230451;44.4817324230451, 11.3831062585447;321;265_0.127 4.85 8 1
0.127 4.98 8 1;438;1;spira;904;1989;15350;VIA FRANCESCO CAVAZZONI;6650;6672;4000/343434;A;176;E;249;11.3850273090993;44.4692607764911;44.4692607764911, 11.3850273090993;339;438_0.127 4.98 8 1
1.2 1.1 8 1;275;1;spira;14;3078;30400;VIA IRNERIO;10285;10296;4000/343434;A;314;E;250;11.3506167328376;44.4996257932061;44.4996257932061, 11.3506167328376;362;275_1.2 1.1 8 1
1.11 2.10 4 1;787;1;spira;1131;939;30450;VIA S.ISAIA;13554;41;4000/343434;A;322;;63;11.3357757807336;44.4932825534639;44.4932825534639, 11.3357757807336;349;787_1.11 2.10 4 1
1.12 1.80 2 1;677;1;spira;1052;1224;5450;VIA UGO BASSI;163;166;4000/343434;A;347;E;260;11.3407015529974;44.4951923248476;44.4951923248476, 11.3407015529974;352;677_1.12 1.80 2 1
2.2 2.2 8 1;791;1;spira;1136;217;18000;VIA ANDREA COSTA;16161;16156;4000/343434;A;334;;347;11.3022424841515;44.4920804779848;44.4920804779848, 11.3022424841515;434;791_2.2 2.2 8 1
2.2 2.3 2 2;268;1;spira;921;204;47300;VIA PORRETTANA;16156;16164;4000/343434;A;333;E;285;11.302195911367;44.4911043766214;44.4911043766214, 11.302195911367;436;268_2.2 2.3 2 2
2.2 2.7 6 1;594;1;spira;543;128;4850;VIA DELLA BARCA;4486;15506;4000/343434;A;36;O;59;11.2961565433655;44.4942742967034;44.4942742967034, 11.2961565433655;437;594_2.2 2.7 6 1
2.8 2.3 2 1;510;1;spira;852;10163;19350;VIA PIETRO DE COUBERTIN;4571;17301;4000/343434;A;38;S;188;11.3108762401867;44.4936129820353;44.4936129820353, 11.3108762401867;506;510_2.8 2.3 2 1
